canal,url_canal,nome_video,url_video,data_visualizacao,part_of_day,year,month,day,day_name
BrandAccount,https://www.youtube.com/channel/UCQTq2waKTxgyvTw-tskrQUQ,OS BASTIDORES DO DE FÉRIAS COM O EXBrandAccount20 de jun. de 2021 12:51:46 BRT,https://www.youtube.com/watch?v=PyyPqqTVj9g,2021-06-20 12:51:46,Morning,2021,June,20,Sunday
Panela de Séries,https://www.youtube.com/channel/UCU0wvtUTGfxHwcAU8o7uKHw,Vem aí... Entrevista com Allan Arnold (Narrador e Dublador da MTV)Panela de Séries20 de jun. de 2021 12:51:17 BRT,https://www.youtube.com/watch?v=YbVQfHbJ8to,2021-06-20 12:51:17,Morning,2021,June,20,Sunday
Comentario Nerd,https://www.youtube.com/channel/UC94kZOh1Kv0PZXV_Xk4UFDA,CONHEÇA O NARRADOR DO DE FÉRIAS COM EX BRASILComentario Nerd20 de jun. de 2021 12:48:20 BRT,https://www.youtube.com/watch?v=nSPpuKm3B5E,2021-06-20 12:48:20,Morning,2021,June,20,Sunday
Diário de Família,https://www.youtube.com/channel/UC9ExIKgJKiksTbT-Xte6SYA,2 HORAS SOM DO UTERO - ORIGINAL - ACALMA BEBÊSDiário de Família20 de jun. de 2021 08:53:48 BRT,https://www.youtube.com/watch?v=ZAWtpK8Dwc8,2021-06-20 08:53:48,Early Morning,2021,June,20,Sunday
ge,https://www.youtube.com/channel/UCgCKagVhzGnZcuP9bSMgMCg,FLAMENGO 2 X 3 BRAGANTINO | MELHORES MOMENTOS | 5ª RODADA BRASILEIRÃO 2021 | ge.globoge20 de jun. de 2021 06:18:29 BRT,https://www.youtube.com/watch?v=s780c6fctyg,2021-06-20 06:18:29,Early Morning,2021,June,20,Sunday
Fantástica Fábrica Criativa,https://www.youtube.com/channel/UCSmxz2XpY6jQ9iCIcpxak9A,Dicas de Storytelling: Uma história em 3 PASSOS!Fantástica Fábrica Criativa20 de jun. de 2021 01:18:55 BRT,https://www.youtube.com/watch?v=Kd5NanCMDNE,2021-06-20 01:18:55,Late Night,2021,June,20,Sunday
Programação Dinâmica,https://www.youtube.com/channel/UC70mr11REaCqgKke7DPJoLg,Como manipular um DataFrame e EXPORTAR para CSV? | Análise de dados #9Programação Dinâmica20 de jun. de 2021 00:29:35 BRT,https://www.youtube.com/watch?v=L50fiScthSc,2021-06-20 00:29:35,Late Night,2021,June,20,Sunday
Juliane Sousa,https://www.youtube.com/channel/UC8gQaJxjy6mw1dopYJdPplg,Como salvar um arquivo em formato CSVJuliane Sousa20 de jun. de 2021 00:28:51 BRT,https://www.youtube.com/watch?v=CeqE5lOqr5E,2021-06-20 00:28:51,Late Night,2021,June,20,Sunday
FEA Dev,https://www.youtube.com/channel/UCVFv7Z_5n_CNZBZJVcnkn-g,COMO UTILIZAR O JUPYTER NOTEBOOK?FEA Dev20 de jun. de 2021 00:22:18 BRT,https://www.youtube.com/watch?v=dPb4acFiaYs,2021-06-20 00:22:18,Late Night,2021,June,20,Sunday
Didática Tech,https://www.youtube.com/channel/UC0BiVs5EYh57gzGVvhddjsA,Como abrir arquivos no Python usando Pandas (Python para machine learning - Aula 11)Didática Tech20 de jun. de 2021 00:12:12 BRT,https://www.youtube.com/watch?v=cd6eU5GV_8o,2021-06-20 00:12:12,Late Night,2021,June,20,Sunday
Raul Batista Jr - Therapperbrazilian,https://www.youtube.com/channel/UCNM3gIGoKO6XyJWu-1mocCA,Não Tem Desculpa Como Baixar O Arquivo Do Collab IPYNB E Usá lo Da Forma Certa No Jupyter Notebook ORaul Batista Jr - Therapperbrazilian20 de jun. de 2021 00:08:57 BRT,https://www.youtube.com/watch?v=ZuNYgffPOOk,2021-06-20 00:08:57,Late Night,2021,June,20,Sunday
Maestrus,https://www.youtube.com/channel/UCwMw9yJ_oJKONdEQc9TIdSQ,Converter Arquivo Excel em CSV - Google SheetsMaestrus20 de jun. de 2021 00:05:24 BRT,https://www.youtube.com/watch?v=wupWISbNRug,2021-06-20 00:05:24,Late Night,2021,June,20,Sunday
Programe Python,https://www.youtube.com/channel/UCScH4esOy2vcg2-iy-1UqQQ,Conectando o DRIVE no GOOGLE COLABPrograme Python19 de jun. de 2021 23:19:13 BRT,https://www.youtube.com/watch?v=fOY40LN_rZs,2021-06-19 23:19:13,Night,2021,June,19,Saturday
Samuca Tutoriais,https://www.youtube.com/channel/UCmo7BqomaF8nJkzM__3FEjw,Copiar Arquivos do Google Drive Para Drive Compartilhados com Google ColabSamuca Tutoriais19 de jun. de 2021 23:14:28 BRT,https://www.youtube.com/watch?v=vWRajQ8IiAA,2021-06-19 23:14:28,Night,2021,June,19,Saturday
Base dos Dados,https://www.youtube.com/channel/UCO1AcMaEa7bArIHb85bkSYA,Workshop: Aplicações em PythonBase dos Dados19 de jun. de 2021 22:44:46 BRT,https://www.youtube.com/watch?v=wI2xEioDPgM,2021-06-19 22:44:46,Night,2021,June,19,Saturday
Base dos Dados,https://www.youtube.com/channel/UCO1AcMaEa7bArIHb85bkSYA,Workshop: Aprenda a acessar dados públicos em RBase dos Dados19 de jun. de 2021 22:44:01 BRT,https://www.youtube.com/watch?v=M9ayiseIjvI,2021-06-19 22:44:01,Night,2021,June,19,Saturday
Base dos Dados,https://www.youtube.com/channel/UCO1AcMaEa7bArIHb85bkSYA,Workshop: SQL + BigQueryBase dos Dados18 de jun. de 2021 18:19:23 BRT,https://www.youtube.com/watch?v=nGM2OwTUY_M,2021-06-18 18:19:23,Evening,2021,June,18,Friday
Samuca Tutoriais,https://www.youtube.com/channel/UCmo7BqomaF8nJkzM__3FEjw,Copiar Arquivos do Google Drive Para Drive Compartilhados com Google ColabSamuca Tutoriais18 de jun. de 2021 15:43:10 BRT,https://www.youtube.com/watch?v=vWRajQ8IiAA,2021-06-18 15:43:10,Noon,2021,June,18,Friday
Zurubabel,https://www.youtube.com/channel/UCqWo_iZvIALqgmXkzJ8S0Sg,Curso de Pandas - Python (Aula 0.1) - Abrindo arquivos em CSVZurubabel18 de jun. de 2021 01:05:26 BRT,https://www.youtube.com/watch?v=K1RLuCp_LvI,2021-06-18 01:05:26,Late Night,2021,June,18,Friday
Didática Tech,https://www.youtube.com/channel/UC0BiVs5EYh57gzGVvhddjsA,Manipulando colunas em um dataframe pandas (Python para Machine Learning - Aula 16)Didática Tech18 de jun. de 2021 00:58:33 BRT,https://www.youtube.com/watch?v=6NgyWKaP1ZU,2021-06-18 00:58:33,Late Night,2021,June,18,Friday
Fã de Esportes,https://www.youtube.com/channel/UCdRbvTmDBX6Qq07lzlJ6kHw,Nacho do Real Madril faz GOL Polêmico contra Sevilla em faltaFã de Esportes17 de jun. de 2021 15:06:47 BRT,https://www.youtube.com/watch?v=lkcpSVEBcp8,2021-06-17 15:06:47,Noon,2021,June,17,Thursday
DS Gols HD 2,https://www.youtube.com/channel/UCDaHEex7vq5YZOQwHNlnplw,Gols - Real Madrid 4 x 1 Sevilla - La Liga 16-17DS Gols HD 217 de jun. de 2021 15:03:28 BRT,https://www.youtube.com/watch?v=IyZ3Ux8Bx2I,2021-06-17 15:03:28,Noon,2021,June,17,Thursday
Programação Dinâmica,https://www.youtube.com/channel/UC70mr11REaCqgKke7DPJoLg,Como manipular um DataFrame e EXPORTAR para CSV? | Análise de dados #9Programação Dinâmica17 de jun. de 2021 02:27:43 BRT,https://www.youtube.com/watch?v=L50fiScthSc,2021-06-17 02:27:43,Late Night,2021,June,17,Thursday
Programação Dinâmica,https://www.youtube.com/channel/UC70mr11REaCqgKke7DPJoLg,Como usar o Google COLAB para ANALISAR DADOS? | Handshake #08Programação Dinâmica17 de jun. de 2021 01:25:54 BRT,https://www.youtube.com/watch?v=_mIwsA2ddSc,2021-06-17 01:25:54,Late Night,2021,June,17,Thursday
Python DS,https://www.youtube.com/channel/UCdpQJDGrM3Xj58ZFF-2UNBA,#03 PYTHON GOOGLE COLAB - CARGA DE ARQUIVOSPython DS17 de jun. de 2021 01:07:41 BRT,https://www.youtube.com/watch?v=TktVdYlKDQo,2021-06-17 01:07:41,Late Night,2021,June,17,Thursday
Pedro Bornio,https://www.youtube.com/channel/UCHOOcTfKlgrEi_dWkzA3QYg,Dica de como se registrar na BETFAIR - Em dólar ou real?Pedro Bornio17 de jun. de 2021 00:50:39 BRT,https://www.youtube.com/watch?v=CBge7Pl2IxA,2021-06-17 00:50:39,Late Night,2021,June,17,Thursday
Canal do Theo Borges,https://www.youtube.com/channel/UCLWt2kCXdBlc2qWlUrP4vqw,Trade Esportivo - Dólar ou Real? Qual a melhor moeda? Posso ter as duas?Canal do Theo Borges16 de jun. de 2021 18:23:03 BRT,https://www.youtube.com/watch?v=3tEQu0oVtGw,2021-06-16 18:23:03,Evening,2021,June,16,Wednesday
Venaro Trader,https://www.youtube.com/channel/UCCw2zxYKkk9Ew03ueIb2xnw,Meios de DEPOSITO e SAQUE na Betfair!Venaro Trader16 de jun. de 2021 18:22:03 BRT,https://www.youtube.com/watch?v=9A76Ie2o0I4,2021-06-16 18:22:03,Evening,2021,June,16,Wednesday
DANIEL BRANDÃO,https://www.youtube.com/channel/UCD0vPcycPxn4nK1Q3P5Wk5w,FORMA MAIS RÁPIDA DE DEPOSITAR NA BETFAIR ATRAVÉS DO PIX DINHEIRO NA CONTA EM 5 MINUTOSDANIEL BRANDÃO16 de jun. de 2021 18:19:22 BRT,https://www.youtube.com/watch?v=t0aJBF6Mt78,2021-06-16 18:19:22,Evening,2021,June,16,Wednesday
Football Trade,https://www.youtube.com/channel/UCEqiMxeSd9D0zjR7-4teLiw,Como Fazer o Depósito na BetFair e como Retirar o Limite de Depósito - Tutorial SimplesFootball Trade16 de jun. de 2021 18:17:59 BRT,https://www.youtube.com/watch?v=7vIjldQVKPw,2021-06-16 18:17:59,Evening,2021,June,16,Wednesday
Nettuno - Trader Esportivo,https://www.youtube.com/channel/UC9MMn_6qKyuk4RjDRJV0CKA,COMO  funciona a BETFAIRNettuno - Trader Esportivo16 de jun. de 2021 18:16:51 BRT,https://www.youtube.com/watch?v=raz8-rCl208,2021-06-16 18:16:51,Evening,2021,June,16,Wednesday
Planeta Novo,https://www.youtube.com/channel/UCXDpWoUWeSWu_V1aiozYOGg,CUIDADO!!! ele é MUITO PERIGOSOPlaneta Novo15 de jun. de 2021 09:02:00 BRT,https://www.youtube.com/watch?v=OWpXk-Aygeg,2021-06-15 09:02:00,Morning,2021,June,15,Tuesday
LILIAN ARAGÃO para admiradores,https://www.youtube.com/channel/UCAeU7USV-qWv8SYqPcdlTzw,QUE ISSO ACABE LOGO DESAFIANDO O NEYMAR KKLILIAN ARAGÃO para admiradores15 de jun. de 2021 09:00:56 BRT,https://www.youtube.com/watch?v=R-4R3n79UiU,2021-06-15 09:00:56,Morning,2021,June,15,Tuesday
Tropa do Podpah,https://www.youtube.com/channel/UCTnFhloApcQnLDBxqghDuAA,A HISTORIA MAIS ESPERADA DO PODCAST INTEIRO (ASSISTA ESSE VÍDEO!)Tropa do Podpah15 de jun. de 2021 09:00:18 BRT,https://www.youtube.com/watch?v=gkCI2sIDunQ,2021-06-15 09:00:18,Morning,2021,June,15,Tuesday
Copa América,https://www.youtube.com/channel/UCcDhPsZnQKMn_4DfDBuYg1Q,HIGHLIGHTS ARGENTINA 1 - 1 CHILE | COPA AMÉRICA 2021 | 14-06-21Copa América15 de jun. de 2021 08:57:08 BRT,https://www.youtube.com/watch?v=SDrGeb6TfOU,2021-06-15 08:57:08,Early Morning,2021,June,15,Tuesday
Copa América,https://www.youtube.com/channel/UCcDhPsZnQKMn_4DfDBuYg1Q,HIGHLIGHTS PARAGUAY 3 - 1 BOLIVIA | COPA AMÉRICA 2021 | 14-06-21Copa América15 de jun. de 2021 08:54:09 BRT,https://www.youtube.com/watch?v=fvvWYra_7Ck,2021-06-15 08:54:09,Early Morning,2021,June,15,Tuesday
Curiosidades Diárias,https://www.youtube.com/channel/UC6xhOx8INB65sw32eHSXqew,"NEYMAR MANDA INDIRETA PARA CRAQUE NETO DO ""OS DONOS DA BOLA"" !Curiosidades Diárias15 de jun. de 2021 00:22:51 BRT",https://www.youtube.com/watch?v=jHU6nJZ9Zqw,2021-06-15 00:22:51,Late Night,2021,June,15,Tuesday
Flávio M Machado,https://www.youtube.com/channel/UCtHCNo74e8hudzwbu29jcrw,foi aparecer e se lascou•se o teto não aguenta imagina o para brisa•vidro é diferente de suspensão .Flávio M Machado15 de jun. de 2021 00:22:27 BRT,https://www.youtube.com/watch?v=q-9hpBizSbM,2021-06-15 00:22:27,Late Night,2021,June,15,Tuesday
CANAL KKK,https://www.youtube.com/channel/UC3vbM6pw75gQK4Cz_fzG9PQ,"""AI, COMO DÓI!...""CANAL KKK15 de jun. de 2021 00:22:10 BRT",https://www.youtube.com/watch?v=qQh5mjg2nwo,2021-06-15 00:22:10,Late Night,2021,June,15,Tuesday
Views Famosos,https://www.youtube.com/channel/UCOBkfC1BxJlZ5RDDJLKCqSg,Namorada de Gabigol se incomoda e abaixa o braço do artilheiro durante premiaçãoViews Famosos15 de jun. de 2021 00:21:49 BRT,https://www.youtube.com/watch?v=08Cu9a2l2qc,2021-06-15 00:21:49,Late Night,2021,June,15,Tuesday
Flow Poop [OFICIAL],https://www.youtube.com/channel/UC_vCmODMFq9pYyiY2wZVsIQ,Felipe Neto mandou um video pro MonarkFlow Poop [OFICIAL]15 de jun. de 2021 00:21:27 BRT,https://www.youtube.com/watch?v=N6IxjG-rxmg,2021-06-15 00:21:27,Late Night,2021,June,15,Tuesday
Tommy Pistol,https://www.youtube.com/channel/UCQVPzQUoZZ5LyMG4tPxRhHQ,Gia DerzaTommy Pistol15 de jun. de 2021 00:21:14 BRT,https://www.youtube.com/watch?v=3StCj76rzRo,2021-06-15 00:21:14,Late Night,2021,June,15,Tuesday
CANAL KKK,https://www.youtube.com/channel/UC3vbM6pw75gQK4Cz_fzG9PQ,QUE BIXO É ESSE?CANAL KKK15 de jun. de 2021 00:20:55 BRT,https://www.youtube.com/watch?v=ZSh06LmGXfM,2021-06-15 00:20:55,Late Night,2021,June,15,Tuesday
Podpah,https://www.youtube.com/channel/UCj9R9rOhl81fhnKxBpwJ-yw,IGÃO E MÍTICO - Podpah #00Podpah15 de jun. de 2021 00:19:41 BRT,https://www.youtube.com/watch?v=G9M-yhQB-OM,2021-06-15 00:19:41,Late Night,2021,June,15,Tuesday
Flow Podcast,https://www.youtube.com/channel/UC4ncvgh5hFr5O83MH7-jRJg,Flow Podcast #01 – MONARK E IGORFlow Podcast15 de jun. de 2021 00:18:34 BRT,https://www.youtube.com/watch?v=QouvU0RhsPU,2021-06-15 00:18:34,Late Night,2021,June,15,Tuesday
Cartoloucos,https://www.youtube.com/channel/UCfBw30ryGwSC-6YyTPseHPw,NEYMAR PULOU A SEGURANÇA PARA FALAR COMIGO NA COPA AMÉRICA!Cartoloucos15 de jun. de 2021 00:07:21 BRT,https://www.youtube.com/watch?v=zEbMXCFpo8c,2021-06-15 00:07:21,Late Night,2021,June,15,Tuesday
FACE UFMG,https://www.youtube.com/channel/UCLh2o7J1vLBBu4y8Gg7NevA,DemoPop WorkshopFACE UFMG14 de jun. de 2021 00:59:26 BRT,https://www.youtube.com/watch?v=x4tHCbVXv_Q,2021-06-14 00:59:26,Late Night,2021,June,14,Monday
Storytellers,https://www.youtube.com/channel/UCnCcvOfB9FwnSfYBKWn4NxQ,Cases e ideias de como aplicar Storytelling.Storytellers14 de jun. de 2021 00:59:15 BRT,https://www.youtube.com/watch?v=ycIHaqMzYqM,2021-06-14 00:59:15,Late Night,2021,June,14,Monday
Programação Dinâmica,https://www.youtube.com/channel/UC70mr11REaCqgKke7DPJoLg,CONVERTENDO uma coluna de um DataFrame do Pandas | Dica de Pandas #1Programação Dinâmica14 de jun. de 2021 00:59:03 BRT,https://www.youtube.com/watch?v=MVd1cs7TDgA,2021-06-14 00:59:03,Late Night,2021,June,14,Monday
Peixe Babel,https://www.youtube.com/channel/UCqB90BBr6eNRaJl-kl30Xxw,Matplotlib vs Seaborn vs PlotlyPeixe Babel14 de jun. de 2021 00:49:57 BRT,https://www.youtube.com/watch?v=hRxULrK7bQY,2021-06-14 00:49:57,Late Night,2021,June,14,Monday
Ignorância Zero,https://www.youtube.com/channel/UCmjj41YfcaCpZIkU-oqVIIw,Aulas Python - 126 - Decoradores de FunçõesIgnorância Zero14 de jun. de 2021 00:43:42 BRT,https://www.youtube.com/watch?v=TCBvRA6YJpE,2021-06-14 00:43:42,Late Night,2021,June,14,Monday
Eduardo Mendes,https://www.youtube.com/channel/UCAaKeg-BocRqphErdtIUFFw,"Novidades do SQLAlchemy (orm async, 2.0 e queries) - Live de Python #166Eduardo Mendes14 de jun. de 2021 00:40:27 BRT",https://www.youtube.com/watch?v=nwJYbbJfJpg,2021-06-14 00:40:27,Late Night,2021,June,14,Monday
Eduardo Mendes,https://www.youtube.com/channel/UCAaKeg-BocRqphErdtIUFFw,Live de Python #139 - SQLAlchemy ORMEduardo Mendes14 de jun. de 2021 00:40:25 BRT,https://www.youtube.com/watch?v=UgaybOYMKS0,2021-06-14 00:40:25,Late Night,2021,June,14,Monday
André de Moraes,https://www.youtube.com/channel/UCfDyjiMtUVgxE5qWIfBUb9g,De onde vem as boas ideias (dublado)André de Moraes14 de jun. de 2021 00:32:06 BRT,https://www.youtube.com/watch?v=BtgnozUgc58,2021-06-14 00:32:06,Late Night,2021,June,14,Monday
Psicólogo Me. Ubirajara Ferreira,https://www.youtube.com/channel/UCjZH0qekDBvW2UszNtE3w4w,"Citizenfour (2014). Filme completo. Legendado PT. L.Poitras, Ed.Snowden e Glenn Greenwald. Divulgue!Psicólogo Me. Ubirajara Ferreira14 de jun. de 2021 00:31:10 BRT",https://www.youtube.com/watch?v=kPCd0rMYxjg,2021-06-14 00:31:10,Late Night,2021,June,14,Monday
iMasters,https://www.youtube.com/channel/UCNTX_S7zq9h_MKhPljMIoYw,NoSQL em ambientes de alta disponibilidade: Case EasyTaxi com Augusto PascuttiiMasters14 de jun. de 2021 00:15:47 BRT,https://www.youtube.com/watch?v=lkG0yitC3Pg,2021-06-14 00:15:47,Late Night,2021,June,14,Monday
AI Girls Comunidade,https://www.youtube.com/channel/UC_QxmLPZQRJDjjtN1M-gfnQ,Como NÃO fazer visualização de dados - Luiza AraújoAI Girls Comunidade14 de jun. de 2021 00:09:29 BRT,https://www.youtube.com/watch?v=TsEBdPHoNwY,2021-06-14 00:09:29,Late Night,2021,June,14,Monday
Bóson Treinamentos,https://www.youtube.com/channel/UCzOGJclZQvPVgYZIwERsf5g,23 - T-SQL - OUTER JOINS - LEFT e RIGHT - Selecionar dados de várias tabelas - SQL ServerBóson Treinamentos13 de jun. de 2021 23:56:37 BRT,https://www.youtube.com/watch?v=mGbOaA1xWwk,2021-06-13 23:56:37,Night,2021,June,13,Sunday
Psicólogo Me. Ubirajara Ferreira,https://www.youtube.com/channel/UCjZH0qekDBvW2UszNtE3w4w,"Citizenfour (2014). Filme completo. Legendado PT. L.Poitras, Ed.Snowden e Glenn Greenwald. Divulgue!Psicólogo Me. Ubirajara Ferreira13 de jun. de 2021 23:55:05 BRT",https://www.youtube.com/watch?v=kPCd0rMYxjg,2021-06-13 23:55:05,Night,2021,June,13,Sunday
Prof. Tássio Gonçalves,https://www.youtube.com/channel/UCd4hVJngMvV6iGgpT0M3Rvw,Explicando a Diferença entre INNER   LEFT   RIGHT E OUTER JOINProf. Tássio Gonçalves13 de jun. de 2021 23:53:32 BRT,https://www.youtube.com/watch?v=JZAkVZJX7bE,2021-06-13 23:53:32,Night,2021,June,13,Sunday
Curso em Vídeo,https://www.youtube.com/channel/UCrWvhVmt0Qac3HgsjQK62FQ,Curso MySQL #16 - INNER JOIN com várias tabelasCurso em Vídeo13 de jun. de 2021 23:51:53 BRT,https://www.youtube.com/watch?v=jx2ne8iZMOA,2021-06-13 23:51:53,Night,2021,June,13,Sunday
Universal Pictures Brasil,https://www.youtube.com/channel/UCwhVCdYsd-A32RECPqJUoPg,The Post - A Guerra Secreta - Trailer Oficial (Universal Pictures) HDUniversal Pictures Brasil13 de jun. de 2021 23:41:43 BRT,https://www.youtube.com/watch?v=k-tiJlEm76A,2021-06-13 23:41:43,Night,2021,June,13,Sunday
Medialab UFRJ,https://www.youtube.com/channel/UCE71WPbl_ALOE388DbOhCcw,"Diálogos Experimentais #1 DISCRIMINAÇÕES E (IN)VISIBILIDADES ALGORÍTMICAS: TECNOLOGIA, RAÇA E GÊNEROMedialab UFRJ13 de jun. de 2021 23:41:35 BRT",https://www.youtube.com/watch?v=BKmpnz2AIQQ,2021-06-13 23:41:35,Night,2021,June,13,Sunday
Meninas Digitais No Cerrado,https://www.youtube.com/channel/UCxeypXbQ8W88W0F_xGZ-rjA,IV Ada Lovelace Day - Período NoturnoMeninas Digitais No Cerrado13 de jun. de 2021 23:38:00 BRT,https://www.youtube.com/watch?v=rwZpQ6YKUd0,2021-06-13 23:38:00,Night,2021,June,13,Sunday
Bóson Treinamentos,https://www.youtube.com/channel/UCzOGJclZQvPVgYZIwERsf5g,Curso de PostgreSQL - Operador BETWEEN e intervalos em consultas SQLBóson Treinamentos13 de jun. de 2021 23:33:56 BRT,https://www.youtube.com/watch?v=qJx2khL5Zjo,2021-06-13 23:33:56,Night,2021,June,13,Sunday
Storytellers,https://www.youtube.com/channel/UCnCcvOfB9FwnSfYBKWn4NxQ,Cases e ideias de como aplicar Storytelling.Storytellers13 de jun. de 2021 23:19:04 BRT,https://www.youtube.com/watch?v=ycIHaqMzYqM,2021-06-13 23:19:04,Night,2021,June,13,Sunday
Diário de Família,https://www.youtube.com/channel/UC9ExIKgJKiksTbT-Xte6SYA,2 HORAS SOM DO UTERO - ORIGINAL - ACALMA BEBÊSDiário de Família13 de jun. de 2021 23:12:05 BRT,https://www.youtube.com/watch?v=ZAWtpK8Dwc8,2021-06-13 23:12:05,Night,2021,June,13,Sunday
Jean Santos,https://www.youtube.com/channel/UC22qtbT04c-6mRP_uDt9Vww,💥 COMO GANHAR no #KWAI SEM convidar NINGUÉM! Novo método! COMPROVADO! Como Ganhar Dinheiro no KwaiJean Santos13 de jun. de 2021 22:36:42 BRT,https://www.youtube.com/watch?v=baTEP0zCqAA,2021-06-13 22:36:42,Night,2021,June,13,Sunday
Jean Santos,https://www.youtube.com/channel/UC22qtbT04c-6mRP_uDt9Vww,COMO GANHEI R$50 REAIS EM 2 MINUTOS NO PAYPAL -  USERTESTING PROVA DE PAGAMENTO (renda online)Jean Santos13 de jun. de 2021 22:36:01 BRT,https://www.youtube.com/watch?v=j8S5-IW4kjE,2021-06-13 22:36:01,Night,2021,June,13,Sunday
UserTesting,https://www.youtube.com/channel/UCe4TyfzbRngTS-l6a2z8i7g,Tips to be a good test participantUserTesting13 de jun. de 2021 22:35:06 BRT,https://www.youtube.com/watch?v=4cGv6831T9c,2021-06-13 22:35:06,Night,2021,June,13,Sunday
UserTesting,https://www.youtube.com/channel/UCe4TyfzbRngTS-l6a2z8i7g,Test participant exampleUserTesting13 de jun. de 2021 22:34:24 BRT,https://www.youtube.com/watch?v=zVag4mLiRss,2021-06-13 22:34:24,Night,2021,June,13,Sunday
Junior Vieira,https://www.youtube.com/channel/UCRc7hjNlJqGvqjJ0WAr_RTg,Ganhe $15 DÓLARES PARA RECEBER E LER E-MAILS! GRÁTIS - (Depósitos PayPal)Junior Vieira13 de jun. de 2021 22:30:17 BRT,https://www.youtube.com/watch?v=-HCgVM0QD0M,2021-06-13 22:30:17,Night,2021,June,13,Sunday
Ricardo Martins - My Broker,https://www.youtube.com/channel/UCvGEhGdqVITkbtD10IcOB3A,A MANSÃO MAIS INCRÍVEL DE GOIÂNIARicardo Martins - My Broker13 de jun. de 2021 21:35:26 BRT,https://www.youtube.com/watch?v=dFIZh0VqzEw,2021-06-13 21:35:26,Night,2021,June,13,Sunday
Ricardo Martins - My Broker,https://www.youtube.com/channel/UCvGEhGdqVITkbtD10IcOB3A,CASA APAIXONANTE NO ALDEIA DO VALE UM PEDACINHO DO PARAISO EM GOIÂNIARicardo Martins - My Broker13 de jun. de 2021 21:28:02 BRT,https://www.youtube.com/watch?v=h6bZJx2GL7Y,2021-06-13 21:28:02,Night,2021,June,13,Sunday
Tropa do Podpah,https://www.youtube.com/channel/UCTnFhloApcQnLDBxqghDuAA,MITICO E IGÃO QUASE PEGA O CARTOLOUCO NA PORRAD@Tropa do Podpah13 de jun. de 2021 21:22:45 BRT,https://www.youtube.com/watch?v=7sIJxPCqxWs,2021-06-13 21:22:45,Night,2021,June,13,Sunday
Cartoloucos,https://www.youtube.com/channel/UCfBw30ryGwSC-6YyTPseHPw,REAGINDO AO MEU PODPAH - CARTO ESPORTE #5 AO VIVOCartoloucos13 de jun. de 2021 20:11:29 BRT,https://www.youtube.com/watch?v=d3QSzT2irUM,2021-06-13 20:11:29,Evening,2021,June,13,Sunday
TV Serra Dourada,https://www.youtube.com/channel/UCuODGS_c39psNvI8f3bYN_g,"JMD (08/10/20) Morre, aos 61 anos, Adolfo CamposTV Serra Dourada13 de jun. de 2021 19:48:50 BRT",https://www.youtube.com/watch?v=ohrDx05L7gQ,2021-06-13 19:48:50,Evening,2021,June,13,Sunday
Luís Luís,https://www.youtube.com/channel/UC3yKrbugpU4U9cavYoUggkA,"Miklos Feher Death, live game (with english subtitles) / Morte de Miklos Feher, jogo em directoLuís Luís13 de jun. de 2021 19:28:23 BRT",https://www.youtube.com/watch?v=i0BqMSIqODU,2021-06-13 19:28:23,Evening,2021,June,13,Sunday
oswaldo sanchez,https://www.youtube.com/channel/UCxl48pfaFzAfQWaQaCBOv4w,"CAMERUN VS COLOBIA CONFEDERACIONES 2003, MUERTE DE MARC VIVIEN FOEoswaldo sanchez13 de jun. de 2021 19:23:51 BRT",https://www.youtube.com/watch?v=xjcdH3J4PNE,2021-06-13 19:23:51,Evening,2021,June,13,Sunday
o melhor do futebol ofc,https://www.youtube.com/channel/UCpgAYhlybOiEezqB2fDDJMg,A morte do jogador Serginho do São Caetanoo melhor do futebol ofc13 de jun. de 2021 19:20:39 BRT,https://www.youtube.com/watch?v=__2z0w971nE,2021-06-13 19:20:39,Evening,2021,June,13,Sunday
Urutara,https://www.youtube.com/channel/UC6Mh0ldv5BC1HefZtX56Y6g,São Paulo 4x2 São Caetano - 2004 - Campeonato Brasileiro 2004 38ª Rodada - Serginho RIPUrutara13 de jun. de 2021 19:17:52 BRT,https://www.youtube.com/watch?v=9fCIi0ROMsE,2021-06-13 19:17:52,Evening,2021,June,13,Sunday
Fun Vi and Crew,https://www.youtube.com/channel/UCEVYn8lSIWulLmndQdba5ZA,Baby Shark Dance! Different Versions | Sing and Dance | Animals Songs For ChildrenFun Vi and Crew13 de jun. de 2021 12:58:54 BRT,https://www.youtube.com/watch?v=f-Wypwi9UBc,2021-06-13 12:58:54,Morning,2021,June,13,Sunday
Bolofofos,https://www.youtube.com/channel/UCDloohi99BTt-vEDDVqiuPw,DOMINGO ABACAXI FLAMINGO | Bolofofos [Público em Geral]Bolofofos13 de jun. de 2021 12:57:40 BRT,https://www.youtube.com/watch?v=NL2ZHPji3Z0,2021-06-13 12:57:40,Morning,2021,June,13,Sunday
Bolofofos,https://www.youtube.com/channel/UCDloohi99BTt-vEDDVqiuPw,FUNK do Pão de Queijo | BolofofosBolofofos13 de jun. de 2021 12:55:34 BRT,https://www.youtube.com/watch?v=1BZ5s6BcvKg,2021-06-13 12:55:34,Morning,2021,June,13,Sunday
Ricardo Martins - My Broker,https://www.youtube.com/channel/UCvGEhGdqVITkbtD10IcOB3A,A CASA MAIS LUXUOSA DE GOIÂNIA NO ALDEIA DO VALERicardo Martins - My Broker13 de jun. de 2021 00:14:27 BRT,https://www.youtube.com/watch?v=Y8Q9PArmsRk,2021-06-13 00:14:27,Late Night,2021,June,13,Sunday
